sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
29202,Vervaardiging van aanhangwagens en opleggers,C,29,292,2920,02
2931,Vervaardiging van elektrische en elektronische onderdelen,C,29,293,2931,02
2932,"Vervaardiging v. niet-elektrische, -elektronische onderdelen",C,29,293,2932,02
3011,Bouw van schepen en drijvend materieel,C,30,301,3011,02
3012,Bouw van sport- en recreatievaartuigen,C,30,301,3012,02
3020,Vervaardiging van rollend spoor- en tramwegmaterieel,C,30,302,3020,02
3030,Vervaardiging van vliegtuigen en onderdelen daarvoor,C,30,303,3030,02
3040,Vervaardiging van militaire gevechtsvoertuigen,C,30,304,3040,02
3091,Vervaardiging van motor- en bromfietsen,C,30,309,3091,02
3092,Vervaardiging van fietsen en invalidenwagens,C,30,309,3092,02
3099,Vervaardiging van overige transportmiddelen (rest),C,30,309,3099,02
31011,Interieurbouw,C,31,310,3101,02
31012,Vervaardiging van bedrijfsmeubels,C,31,310,3101,02
3102,Vervaardiging van keukenmeubels,C,31,310,3102,02
3103,Vervaardiging van matrassen,C,31,310,3103,02
3109,Vervaardiging van overige meubels,C,31,310,3109,02
3211,Slaan van munten en medailles,C,32,321,3211,02
3212,Bewerken van edelstenen en vervaardiging van sieraden e.d.,C,32,321,3212,02
3213,Vervaardiging van imitatiesieraden,C,32,321,3213,02
3220,Vervaardiging van muziekinstrumenten,C,32,322,3220,02
3230,Vervaardiging van sportartikelen,C,32,323,3230,02
3240,Vervaardiging van speelgoed en spellen,C,32,324,3240,02
32501,Tandtechnische bedrijven,C,32,325,3250,02
32502,Vervaardiging van medische instrumenten en hulpmiddelen,C,32,325,3250,02
3291,Vervaardiging van borstelwaren,C,32,329,3291,02
32991,Sociale werkvoorziening,C,32,329,3299,02
32999,Vervaardiging van overige goederen (rest),C,32,329,3299,02
3311,Reparatie van producten van metaal,C,33,331,3311,02
33121,Reparatie en onderhoud van machines voor algemeen gebruik,C,33,331,3312,02
33122,Reparatie en onderhoud v. pneumatisch/elektrisch gereedschap,C,33,331,3312,02
33123,Reparatie en onderhoud van machines (specifieke bedrijfstak),C,33,331,3312,02
3313,Reparatie van elektronische en optische apparatuur,C,33,331,3313,02
3314,Reparatie van elektrische apparatuur,C,33,331,3314,02
3315,Reparatie en onderhoud van schepen,C,33,331,3315,02
3316,Reparatie en onderhoud van vliegtuigen,C,33,331,3316,02
3317,Reparatie en onderhoud van overige transportmiddelen,C,33,331,3317,02
3319,Reparatie van overige apparatuur,C,33,331,3319,02
3321,Installatie van ketels en tanks,C,33,332,3321,02
33221,Installatie van machines voor algemeen gebruik,C,33,332,3322,02
33222,Installatie van pneumatisch en elektrisch gereedschap,C,33,332,3322,02
33223,Installatie van machines voor een specifieke bedrijfstak,C,33,332,3322,02
3323,Installatie van elektronische en optische apparatuur,C,33,332,3323,02
3324,Installatie van elektrische apparatuur,C,33,332,3324,02
3329,Installatie van overige toebehoren,C,33,332,3329,02
35111,"Prod.v. elektr. door thermische, kern- en warmtekrachtcentr.",D,35,351,3511,03
35112,Productie van elektriciteit door windenergie,D,35,351,3511,03
35113,"Productie van elektriciteit door zonnecellen, warmtepompen",D,35,351,3511,03
3512,Beheer en exploitatie van transportnetten voor elektriciteit,D,35,351,3512,03
3513,Distributie van elektriciteit en gasvormige brandstoffen,D,35,351,3513,03
3514,Handel in elektriciteit en in gas via leidingen,D,35,351,3514,03
3520,Productie van aardgas,D,35,352,3520,03
3530,Productie en distributie van stoom en gekoelde lucht,D,35,353,3530,03
3600,Winning en distributie van water,E,36,360,3600,03
3700,Afvalwaterinzameling en -behandeling,E,37,370,3700,03
3811,Inzameling van onschadelijk afval,E,38,381,3811,03
3812,Inzameling van schadelijk afval,E,38,381,3812,03
3821,Behandeling van onschadelijk afval,E,38,382,3821,03
3822,Behandeling van schadelijk afval,E,38,382,3822,03
3831,"Sloop van schepen, witgoed, computers e.d.",E,38,383,3831,03
3832,Gesorteerd materiaal voorbereiden tot recycling,E,38,383,3832,03
3900,Sanering en overig afvalbeheer,E,39,390,3900,03
4110,Projectontwikkeling,F,41,411,4110,04
4120,Algemene burgerlijke en utiliteitsbouw,F,41,412,4120,04
42111,Wegenbouw,F,42,421,4211,04
42112,Stratenmaken,F,42,421,4211,04
4212,Bouw van boven- en ondergrondse spoorwegen,F,42,421,4212,04
4213,Bouw van kunstwerken,F,42,421,4213,04
4221,"Leggen van rioleringen, buizen en pijpleidingen",F,42,422,4221,04
4222,Leggen van elektriciteits- en telecommunicatiekabels,F,42,422,4222,04
4291,Natte waterbouw,F,42,429,4291,04
4299,Bouw van overige civieltechnische werken (rest),F,42,429,4299,04
4311,Slopen van bouwwerken,F,43,431,4311,04
4312,Grondverzet,F,43,431,4312,04
4313,Proefboren,F,43,431,4313,04
4321,Elektrotechnische bouwinstallatie,F,43,432,4321,04
43221,Loodgieters- en fitterswerk; installatie van sanitair,F,43,432,4322,04
43222,Installatie van verwarmings- en luchtbehandelingsapparatuur,F,43,432,4322,04
4329,Overige bouwinstallatie,F,43,432,4329,04
4331,Stukadoren,F,43,433,4331,04
4332,Bouwtimmeren,F,43,433,4332,04
4333,Afwerking van vloeren en wanden,F,43,433,4333,04
4334,Schilderen en glaszetten,F,43,433,4334,04
4339,Overige afwerking van gebouwen,F,43,433,4339,04
4391,Dakdekken en bouwen van dakconstructies,F,43,439,4391,04
43991,Heien en andere funderingswerkzaamheden,F,43,439,4399,04
43992,Vlechten van betonstaal,F,43,439,4399,04
43993,Metselen en voegen,F,43,439,4399,04
43999,Overige gespecialiseerde werkzaamheden in de bouw (rest),F,43,439,4399,04
45111,Import van nieuwe personenauto's en lichte bedrijfsauto's,G,45,451,4511,05
45112,Handel in en reparatie van personenauto's en bedrijfsauto's,G,45,451,4511,05
45191,Import van nieuwe bedrijfsauto's,G,45,451,4519,05
45192,Handel in en reparatie van zwaardere bedrijfsauto's,G,45,451,4519,05
45193,Handel in en reparatie van aanhangwagens en opleggers,G,45,451,4519,05
45194,Handel in en reparatie van caravans,G,45,451,4519,05
45201,Auto-onderdelenservicebedrijven,G,45,452,4520,05
45202,Bandenservicebedrijven,G,45,452,4520,05
45203,Reparatie van specifieke auto-onderdelen,G,45,452,4520,05
45204,Carrosserieherstel,G,45,452,4520,05
45205,Overige gespecialiseerde reparatie en slepen van auto's,G,45,452,4520,05
